,users,repos,user_links,Stars
0,ansible,ansible,https://github.com/ansible,55.2k
1,bregman-arie,devops-exercises,https://github.com/bregman-arie,32.3k
2,trailofbits,algo,https://github.com/trailofbits,26.3k
3,StreisandEffect,streisand,https://github.com/StreisandEffect,22.9k
4,MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade,19.4k
5,kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs,13.1k
6,ansible,awx,https://github.com/ansible,11.5k
7,easzlab,kubeasz,https://github.com/easzlab,8.6k
8,geerlingguy,ansible-for-devops,https://github.com/geerlingguy,6.3k
9,khuedoan,homelab,https://github.com/khuedoan,6.2k
10,Tikam02,DevOps-Guide,https://github.com/Tikam02,5.4k
11,ansible-semaphore,semaphore,https://github.com/ansible-semaphore,5.3k
12,geerlingguy,mac-dev-playbook,https://github.com/geerlingguy,4.9k
13,rundeck,rundeck,https://github.com/rundeck,4.7k
14,KubeOperator,KubeOperator,https://github.com/KubeOperator,4.5k
15,clong,DetectionLab,https://github.com/clong,3.9k
16,netbootxyz,netboot.xyz,https://github.com/netbootxyz,3.6k
17,ansible-community,molecule,https://github.com/ansible-community,3.4k
18,litmuschaos,litmus,https://github.com/litmuschaos,3.3k
19,opendevops-cn,opendevops,https://github.com/opendevops-cn,3.3k
